UF,Estado,Casos,Mortes,porcentagem_mortes
SP,São Paulo,6398150,178272,0.028
MG,Minas Gerais,4125271,64839,0.016
RS,Rio Grande do Sul,2943884,41727,0.014
PR,Paraná,2905767,45934,0.016
RJ,Rio de Janeiro,2723296,76652,0.028
SC,Santa Catarina,1972850,22665,0.011
GO,Goiás,1866926,27896,0.015
BA,Bahia,1784159,31368,0.018
CE,Ceará,1447067,28097,0.019
ES,Espírito Santo,1318282,15003,0.011
PE,Pernambuco,1141449,22625,0.02
DF,Distrito Federal,893608,11838,0.013
MT,Mato Grosso,873792,15073,0.017
PA,Pará,864849,19000,0.022
PB,Paraíba,705436,10540,0.015
AM,Amazonas,625318,14421,0.023
MS,Mato Grosso do Sul,602144,10975,0.018
RN,Rio Grande do Norte,584277,8703,0.015
MA,Maranhão,491264,11043,0.022
RO,Rondônia,478822,7418,0.015
PI,Piauí,418951,8052,0.019
TO,Tocantins,364002,4225,0.012
SE,Sergipe,359412,6498,0.018
AL,Alagoas,336861,7233,0.021
AP,Amapá,183707,2167,0.012
RR,Roraima,181750,2180,0.012
AC,Acre,160116,2041,0.013